"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","9","929"
"vyras","16","1021"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","10"
"40-49","0","28"
"50-59","4","157"
"60-69","5","318"
"70-79","4","531"
"80-89","10","710"
"90-99","2","189"
"100-109","0","5"
