"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
61,NA,"Kita",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-27 09:05:57,0,0,1,0,0,0
57977,NA,"Utenos r.",NA,NA,NA,NA,4,1,3,0,4,0,2020-05-27 09:03:25,0,0,4,1.1,37179,0
57978,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-27 09:03:26,0,0,3,1,29526,0
57979,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-05-27 09:03:27,0,0,7,2,34660,0
57980,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-27 09:03:27,0,0,5,1.9,25802,0
57981,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-05-27 09:03:28,0,0,9,2.2,41163,0
57982,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-05-27 09:03:29,0,0,6,8.3,7258,0
57983,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,4,69,3,2020-05-27 09:03:29,0,0,77,14.3,53772,0.7
57984,NA,"Kauno m.",NA,NA,NA,NA,101,50,51,16,82,3,2020-05-27 09:03:30,0,0,101,3.5,289380,0.6
58241,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-05-27 09:03:31,0,0,28,5.6,49888,0
58242,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-27 09:03:32,0,0,1,0.5,19109,0
58243,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-05-27 09:03:32,0,0,15,7.2,20726,0
58244,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-05-27 09:03:33,0,0,2,1.8,11337,0.9
58245,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-05-27 09:03:34,0,0,10,4.4,22718,0
58246,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,1,9,1,2020-05-27 09:03:34,0,0,11,2.7,41442,0.2
58247,NA,"Klaipėdos r.",NA,NA,NA,NA,55,24,31,7,45,3,2020-05-27 09:03:35,0,0,55,9.1,60139,1.2
58248,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-05-27 09:03:35,0,0,6,2.6,23034,0
58249,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-27 09:03:36,0,0,5,2.7,18764,0
58250,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-05-27 09:03:37,0,0,3,1.7,17153,1.2
58251,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-27 09:03:38,0,0,3,0.9,34995,0
58252,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-05-27 09:03:38,0,0,3,1.1,28070,0
58253,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-05-27 09:03:39,0,0,3,1.1,26698,0
58254,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-05-27 09:03:39,0,0,8,2.3,35324,0.3
58255,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-05-27 09:03:40,0,0,5,1.5,32546,0
58256,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-05 10:19:52,0,0,1,0.6,16356,0
58257,NA,"Skuodo r.",NA,NA,NA,NA,2,0,2,0,2,0,2020-05-27 09:03:41,0,0,2,1.2,16078,0
58258,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,5,6,1,2020-05-27 09:03:42,0,0,12,7.5,16046,3.1
58259,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-27 09:03:42,0,0,1,1.4,7288,0
58260,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-05-27 09:03:43,0,0,12,3.9,30520,1.6
58261,NA,"Vilniaus r.",NA,NA,NA,NA,245,87,158,75,165,3,2020-05-27 09:03:44,0,0,245,24.5,100158,7.5
58262,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-05-27 09:03:44,0,0,10,4.4,22932,1.3
58263,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-27 09:03:45,0,0,1,0.7,14916,0
58264,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-27 09:03:46,0,0,1,0.2,45285,0
58265,NA,"Ukmergės r.",NA,NA,NA,NA,86,27,59,5,73,8,2020-05-27 09:03:46,0,0,86,25.7,33471,1.5
58266,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-27 09:03:47,0,0,2,0.8,25382,0
58267,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,2,5,0,2020-05-27 09:03:47,0,0,8,5.3,15076,1.3
58268,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-05-27 09:03:48,0,0,4,3.9,10190,2
58269,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,2,19,0,2020-05-27 09:03:49,0,0,21,2.2,96441,0.2
58270,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,1,6,0,2020-05-27 09:03:49,0,0,7,1.9,37637,0.3
58271,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-05-27 09:03:50,0,0,9,2.4,37805,0.5
58272,NA,"Lazdijų r.",NA,NA,NA,NA,4,1,3,2,2,0,2020-05-27 09:03:51,0,0,4,2.2,18331,1.1
58273,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-27 09:03:52,0,0,2,0.8,24822,0
58274,NA,"Elektrėnų",NA,NA,NA,NA,6,2,4,3,3,0,2020-05-27 09:03:52,0,0,6,2.5,23992,1.3
58275,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-27 09:03:53,0,0,1,2.8,3530,0
58276,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-05-27 09:03:54,0,0,7,1.4,51067,0.2
