"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
57661,NA,"Utenos r.",NA,NA,NA,NA,4,1,3,0,4,0,2020-05-26 09:03:25,0,0,4,1.1,37179,0
57662,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-26 09:03:25,0,0,3,1,29526,0
57663,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-05-26 09:03:26,0,0,7,2,34660,0
57664,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-26 09:03:27,0,0,5,1.9,25802,0
57921,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-05-26 09:03:27,0,0,9,2.2,41163,0
57922,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-05-26 09:03:28,0,0,6,8.3,7258,0
57923,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,4,69,3,2020-05-26 09:03:28,0,0,77,14.3,53772,0.7
57924,NA,"Kauno m.",NA,NA,NA,NA,101,50,51,16,82,3,2020-05-26 09:03:29,0,0,101,3.5,289380,0.6
57925,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-05-26 09:03:30,0,0,28,5.6,49888,0
57926,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-26 09:03:30,0,0,1,0.5,19109,0
57927,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-05-26 09:03:31,0,0,15,7.2,20726,0
57928,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-05-26 09:03:32,0,0,2,1.8,11337,0.9
57929,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-05-26 09:03:32,0,0,10,4.4,22718,0
57930,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,1,9,1,2020-05-26 09:03:33,0,0,11,2.7,41442,0.2
