"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
57017,NA,"Utenos r.",NA,NA,NA,NA,5,2,3,1,4,0,2020-05-30 08:51:53,0,0,5,13.4,37179,2.7,1,2.7,4.5
57018,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-30 08:51:54,0,0,3,10.2,29526,0,0,0,4.5
57019,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-05-30 08:51:54,0,0,7,20.2,34660,0,0,0,4.5
57020,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-30 08:51:55,0,0,5,19.4,25802,0,0,0,4.5
57021,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-05-30 08:51:56,0,0,9,21.9,41163,0,0,0,4.5
57022,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-05-30 08:51:56,0,0,6,82.7,7258,0,0,0,4.5
57023,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,2,70,4,2020-05-30 08:51:57,0,0,77,143.2,53772,3.7,0,0,4.5
57024,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,15,84,3,2020-05-30 08:51:57,0,0,102,35.2,289380,5.2,9,3.1,4.5
60481,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-05-30 08:51:58,0,0,28,56.1,49888,0,0,0,4.5
60482,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-30 08:51:59,0,0,1,5.2,19109,0,0,0,4.5
60483,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-05-30 08:51:59,0,0,15,72.4,20726,0,0,0,4.5
60484,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-05-30 08:52:00,0,0,2,17.6,11337,8.8,0,0,4.5
60485,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-05-30 08:52:01,0,0,10,44,22718,0,0,0,4.5
60486,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-05-30 08:52:01,0,0,11,26.5,41442,0,0,0,4.5
60487,NA,"Klaipėdos r.",NA,NA,NA,NA,55,24,31,5,47,3,2020-05-30 08:52:02,0,0,55,91.5,60139,8.3,0,0,4.5
60488,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-05-30 08:52:02,0,0,6,26,23034,0,0,0,4.5
60489,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-30 08:52:03,0,0,5,26.6,18764,0,0,0,4.5
60490,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-05-30 08:52:04,0,0,3,17.5,17153,11.7,0,0,4.5
60491,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-30 08:52:04,0,0,3,8.6,34995,0,0,0,4.5
60492,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-05-30 08:52:05,0,0,3,10.7,28070,0,0,0,4.5
60493,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-05-30 08:52:06,0,0,3,11.2,26698,0,0,0,4.5
60494,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-05-30 08:52:06,0,0,8,22.6,35324,2.8,1,2.8,4.5
60495,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-05-30 08:52:07,0,0,5,15.4,32546,0,0,0,4.5
60496,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-30 08:52:07,0,0,1,6.1,16356,0,0,0,4.5
60497,NA,"Skuodo r.",NA,NA,NA,NA,2,0,2,0,2,0,2020-05-30 08:52:07,0,0,2,12.4,16078,0,0,0,4.5
60498,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,4,7,1,2020-05-30 08:52:08,0,0,12,74.8,16046,24.9,0,0,4.5
60499,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-30 08:52:09,0,0,1,13.7,7288,0,0,0,4.5
60500,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-05-30 08:52:09,0,0,12,39.3,30520,16.4,2,6.6,4.5
60501,NA,"Vilniaus r.",NA,NA,NA,NA,253,90,163,73,175,3,2020-05-30 08:52:10,0,0,253,252.6,100158,72.9,33,32.9,4.5
60502,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-05-30 08:52:11,0,0,10,43.6,22932,13.1,0,0,4.5
60503,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-30 08:52:11,0,0,1,6.7,14916,0,0,0,4.5
60504,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-30 08:52:12,0,0,1,2.2,45285,0,0,0,4.5
60505,NA,"Ukmergės r.",NA,NA,NA,NA,86,27,59,4,73,9,2020-05-30 08:52:13,0,0,86,256.9,33471,12,0,0,4.5
60506,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-30 08:52:13,0,0,2,7.9,25382,0,0,0,4.5
60507,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,1,6,0,2020-05-30 08:52:14,0,0,8,53.1,15076,6.6,0,0,4.5
60508,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-05-30 08:52:15,0,0,4,39.3,10190,19.6,0,0,4.5
60509,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,0,21,0,2020-05-30 08:52:15,0,0,21,21.8,96441,0,0,0,4.5
60510,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-30 08:52:16,0,0,7,18.6,37637,0,0,0,4.5
60511,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-05-30 08:52:16,0,0,9,23.8,37805,5.3,1,2.6,4.5
60512,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,3,2,0,2020-05-30 08:52:17,0,0,5,27.3,18331,16.4,3,16.4,4.5
