"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
58881,NA,"Utenos r.",NA,NA,NA,NA,4,1,3,0,4,0,2020-05-28 09:03:34,0,0,4,10.8,37179,0
58882,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-28 09:03:35,0,0,3,10.2,29526,0
58883,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-05-28 09:03:35,0,0,7,20.2,34660,0
58884,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-28 09:03:36,0,0,5,19.4,25802,0
58885,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-05-28 09:03:36,0,0,9,21.9,41163,0
58886,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-05-28 09:03:37,0,0,6,82.7,7258,0
58887,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,2,70,4,2020-05-28 09:03:38,0,0,77,143.2,53772,3.7
58888,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,16,83,3,2020-05-28 09:03:38,0,0,102,35.2,289380,5.5
58889,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-05-28 09:03:39,0,0,28,56.1,49888,0
58890,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-28 09:03:40,0,0,1,5.2,19109,0
58891,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-05-28 09:03:40,0,0,15,72.4,20726,0
58892,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-05-28 09:03:41,0,0,2,17.6,11337,8.8
58893,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-05-28 09:03:41,0,0,10,44,22718,0
58894,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,1,9,1,2020-05-28 09:03:42,0,0,11,26.5,41442,2.4
58895,NA,"Klaipėdos r.",NA,NA,NA,NA,55,24,31,7,45,3,2020-05-28 09:03:43,0,0,55,91.5,60139,11.6
58896,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-05-28 09:03:43,0,0,6,26,23034,0
58897,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-28 09:03:44,0,0,5,26.6,18764,0
58898,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-05-28 09:03:45,0,0,3,17.5,17153,11.7
58899,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-28 09:03:45,0,0,3,8.6,34995,0
58900,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-05-28 09:03:46,0,0,3,10.7,28070,0
58901,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-05-28 09:03:46,0,0,3,11.2,26698,0
58902,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-05-28 09:03:47,0,0,8,22.6,35324,2.8
58903,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-05-28 09:03:48,0,0,5,15.4,32546,0
58904,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-05 10:19:52,0,0,1,6.1,16356,0
