"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-31,"VU ligoninės Santaros klinikų laboratorija",533,0,496,0,37,0,NA,NA,7,0
2020-10-31,"Klaipėdos universitetinės ligoninės laboratorija",554,267,422,161,132,104,NA,NA,0,0
2020-10-31,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",187,0,186,0,1,0,NA,NA,45,0
2020-10-31,"Respublikinės Šiaulių ligoninės laboratorija",274,0,257,0,17,0,NA,NA,0,0
2020-10-31,"LSMU ligoninės Kauno klinikų laboratorija",152,0,141,0,11,0,NA,NA,0,0
2020-10-31,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",929,881,717,670,212,209,NA,NA,0,500
2020-10-31,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",938,91,861,57,77,34,NA,NA,229,0
2020-10-31,"UAB „Medicina practica laboratorija“",1309,116,1260,92,49,24,NA,NA,57,5
2020-10-31,"UAB „InMedica“",393,125,355,119,38,6,NA,NA,0,0
2020-10-31,"Respublikinės Panevėžio ligoninės laboratorija",104,0,100,0,4,0,NA,NA,0,0
2020-10-31,"Tauragės ligoninės laboratorija",4,0,4,0,0,0,NA,NA,0,0
2020-10-31,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",710,674,618,596,92,78,NA,NA,188,188
2020-10-31,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",670,645,535,405,135,130,NA,NA,0,0
2020-10-31,"SYNLAB Lietuva UAB",22,0,17,0,5,0,NA,NA,0,0
2020-10-31,"Respublikinės Klaipėdos ligoninės laboratorija",18,0,13,0,5,0,NA,NA,0,0
