"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-25,"VU ligoninės Santaros klinikų laboratorija",393,0,380,0,13,0,NA,NA,7,0
2020-10-25,"Klaipėdos universitetinės ligoninės laboratorija",371,183,278,117,93,62,NA,NA,8,8
2020-10-25,"Respublikinės Šiaulių ligoninės laboratorija",253,34,235,28,18,6,NA,NA,0,0
2020-10-25,"LSMU ligoninės Kauno klinikų laboratorija",211,0,207,0,4,0,NA,NA,0,0
2020-10-25,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",837,834,652,649,185,174,NA,NA,74,0
2020-10-25,"UAB „Baltic Medics“",153,0,132,0,21,0,NA,NA,0,0
2020-10-25,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",105,83,74,52,31,31,NA,NA,0,0
2020-10-25,"UAB „Medicina practica laboratorija“",263,69,240,56,23,13,NA,NA,5,0
2020-10-25,"Respublikinės Panevėžio ligoninės laboratorija",56,0,52,0,4,0,NA,NA,0,0
2020-10-25,"Tauragės ligoninės laboratorija",2,0,2,0,0,0,NA,NA,0,0
2020-10-25,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",617,493,534,414,83,79,NA,NA,94,94
