;Ištirta ėminių per parą;Liko neištirta ėminių
Iš viso;Iš jų;iš viso;iš jų iš mobilių punktų
neigiami;teigiami
iš viso;iš jų iš mobilių punktų;iš viso;iš jų iš mobilių punktų;iš viso;iš jų iš mobilių punktų
VU ligoninės Santaros klinikų laboratorija;1608;0;1513;0;95;0;212;0
Klaipėdos universitetinės ligoninės laboratorija;815;344;647;213;168;120;90;90
Nacionalinė visuomenės sveikatos priežiūros laboratorija;342;0;318;0;24;0;40;0
Respublikinės Šiaulių ligoninės laboratorija;624;0;576;0;48;0;0;0
LSMU ligoninės Kauno klinikų laboratorija;848;0;821;0;27;0;30;0
Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija;1235;1065;947;811;288;269;558;300
Nacionalinio vėžio instituto laboratorija;80;0;80;0;0;0;25;0
UAB „Baltic Medics";1401;883;1167;783;234;87;0;0
UAB „Diagnostikos laboratorija" („Antėja" Vilnius);1014;496;853;366;161;130;537;333
UAB „Medicina practica laboratorija";2405;332;2184;259;221;73;25;10
UAB „SK Impeks Medicinos diagnostikos centras";188;0;172;0;16;0;0;0
UAB „InMedica";759;246;655;187;104;57;0;0
Respublikinės Panevėžio ligoninės laboratorija;156;0;144;0;12;0;0;0
Tauragės ligoninės laboratorija;2;0;1;0;1;0;0;0
UAB „Diagnostikos laboratorija" („Antėja" Kaunas);1409;790;1264;663;145;99;200;150
UAB „Diagnostikos laboratorija" („Antėja" Klaipėda);881;204;764;286;117;35;501;295
SYNLAB Lietuva UAB;417;0;319;0;98;0;0;0
Respublikinės Klaipėdos ligoninės laboratorija;3;0;3;0;0;0;0;0
Klaipėdos vaikų ligoninės laboratorija;1;0;1;0;0;0;0;0
Regioninės Telšių ligoninės laboratorija;3;0;2;0;1;0;0;0
UAB Rezus.lt;388;300;233;155;155;145;0;0
Iš viso:;14579;4660;12664;3723;1915*;1015;2218;1178
