"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-08-18","VU ligoninės Santaros klinikų laboratorija",832,0,832,0,0,0,NA,NA,11,0
"2020-08-18","Klaipėdos universitetinės ligoninės laboratorija",562,186,559,183,3,3,NA,NA,0,0
"2020-08-18","Nacionalinė visuomenės sveikatos priežiūros laboratorija",341,0,337,0,4,0,NA,NA,35,0
"2020-08-18","Respublikinės Šiaulių ligoninės laboratorija",351,95,349,95,2,0,NA,NA,0,0
"2020-08-18","LSMU ligoninės Kauno klinikų laboratorija",1350,489,1326,472,24,17,NA,NA,400,300
"2020-08-18","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",372,264,366,258,6,5,NA,NA,63,0
"2020-08-18","UAB „Baltic Medics“",90,46,90,46,0,0,NA,NA,0,0
"2020-08-18","UAB „Diagnostikos laboratorija“ („Antėja“)",263,31,263,31,0,0,NA,NA,161,24
"2020-08-18","UAB „Medicina practica laboratorija“",410,77,409,77,1,0,NA,NA,20,18
"2020-08-18","UAB „SK Impeks Medicinos diagnostikos centras“",67,0,67,0,0,0,NA,NA,0,0
"2020-08-18","UAB „Invitro diagnostika“",134,55,133,55,1,0,NA,NA,0,0
"2020-08-18","Respublikinės Panevėžio ligoninės laboratorija",92,0,92,0,0,0,NA,NA,0,0
