"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-09-24","VU ligoninės Santaros klinikų laboratorija",852,0,851,0,1,0,NA,NA,0,0
"2020-09-24","Klaipėdos universitetinės ligoninės laboratorija",475,110,467,102,8,2,NA,NA,0,0
"2020-09-24","Nacionalinė visuomenės sveikatos priežiūros laboratorija",346,3,345,3,1,0,NA,NA,45,0
"2020-09-24","Respublikinės Šiaulių ligoninės laboratorija",524,0,515,0,9,0,NA,NA,170,0
"2020-09-24","LSMU ligoninės Kauno klinikų laboratorija",415,0,414,0,1,0,NA,NA,0,0
"2020-09-24","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,470,622,441,29,15,NA,NA,186,0
"2020-09-24","UAB „Baltic Medics“",457,179,391,113,66,66,NA,NA,0,0
"2020-09-24","UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",648,265,634,253,14,11,NA,NA,290,97
"2020-09-24","UAB „Medicina practica laboratorija“",988,84,979,81,9,3,NA,NA,4,0
"2020-09-24","UAB „SK Impeks Medicinos diagnostikos centras“",94,0,92,0,2,0,NA,NA,0,0
"2020-09-24","UAB „Invitro diagnostika“",110,1,107,1,3,0,NA,NA,0,0
"2020-09-24","Respublikinės Panevėžio ligoninės laboratorija",92,0,92,0,0,0,NA,NA,0,0
"2020-09-24","UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",376,203,370,197,6,4,NA,NA,57,57
