"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-18,"VU ligoninės Santaros klinikų laboratorija",1338,0,1219,0,119,0,NA,NA,11,0
2020-11-18,"Klaipėdos universitetinės ligoninės laboratorija",1034,541,783,323,251,218,NA,NA,68,68
2020-11-18,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",299,23,267,16,32,7,NA,NA,45,0
2020-11-18,"Respublikinės Šiaulių ligoninės laboratorija",932,31,866,20,66,11,NA,NA,0,0
2020-11-18,"LSMU ligoninės Kauno klinikų laboratorija",1239,0,1190,0,49,0,NA,NA,50,0
2020-11-18,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1116,969,840,698,276,269,NA,NA,40,40
2020-11-18,"Nacionalinio vėžio instituto laboratorija",168,0,163,0,5,0,NA,NA,31,0
2020-11-18,"UAB „Baltic Medics“",985,432,842,363,143,69,NA,NA,0,0
2020-11-18,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",847,285,724,208,123,77,NA,NA,950,608
2020-11-18,"UAB „Medicina practica laboratorija“",1530,110,1337,61,193,49,NA,NA,300,100
2020-11-18,"UAB „SK Impeks Medicinos diagnostikos centras“",170,0,146,0,24,0,NA,NA,0,0
2020-11-18,"UAB „InMedica“",244,124,225,110,19,12,NA,NA,0,0
2020-11-18,"Respublikinės Panevėžio ligoninės laboratorija",306,0,275,0,31,0,NA,NA,0,0
2020-11-18,"VšĮ Respublikinės Vilniaus universitetinės ligoninės laboratorija",43,0,41,0,2,0,NA,NA,0,0
2020-11-18,"Tauragės ligoninės laboratorija",6,0,2,0,4,0,NA,NA,0,0
2020-11-18,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",1583,851,1237,581,346,256,NA,NA,450,50
2020-11-18,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",746,484,627,373,119,111,NA,NA,564,511
2020-11-18,"SYNLAB Lietuva UAB",276,0,227,0,49,0,NA,NA,0,0
2020-11-18,"Respublikinės Klaipėdos ligoninės laboratorija",37,0,27,0,10,0,NA,NA,0,0
2020-11-18,"Regioninės Telšių ligoninės laboratorija",5,0,5,0,0,0,NA,NA,0,0
2020-11-18,"UAB Rezus.lt",230,100,201,84,29,16,NA,NA,5,0
