"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-08-31","VU ligoninės Santaros klinikų laboratorija",920,0,910,0,10,0,NA,NA,0,0
"2020-08-31","Klaipėdos universitetinės ligoninės laboratorija",561,208,556,203,5,1,NA,NA,0,0
"2020-08-31","Nacionalinė visuomenės sveikatos priežiūros laboratorija",75,37,75,37,0,0,NA,NA,45,0
"2020-08-31","Respublikinės Šiaulių ligoninės laboratorija",274,77,272,75,2,2,NA,NA,0,0
"2020-08-31","LSMU ligoninės Kauno klinikų laboratorija",1126,257,1114,256,12,1,NA,NA,0,0
"2020-08-31","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",744,562,733,551,11,8,NA,NA,161,120
"2020-08-31","Nacionalinio vėžio instituto laboratorija",109,0,109,0,0,0,NA,NA,0,0
"2020-08-31","UAB „Baltic Medics“",141,99,140,98,1,1,NA,NA,0,0
"2020-08-31","UAB „Diagnostikos laboratorija“ („Antėja“)",188,40,188,40,0,0,NA,NA,93,0
"2020-08-31","UAB „Medicina practica laboratorija“",358,125,357,125,1,0,NA,NA,0,0
"2020-08-31","UAB „SK Impeks Medicinos diagnostikos centras“",94,0,94,0,0,0,NA,NA,0,0
"2020-08-31","Respublikinės Panevėžio ligoninės laboratorija",70,0,69,0,1,0,NA,NA,0,0
