"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-07-15,"VU ligoninės Santaros klinikų laboratorija",874,0,873,0,1,0,NA,NA,3,0,2020-07-16 19:50:19
2020-07-15,"Klaipėdos universitetinės ligoninės laboratorija",353,106,352,105,1,0,NA,NA,0,0,2020-07-16 19:50:19
2020-07-15,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",245,45,245,45,0,0,NA,NA,40,0,2020-07-16 19:50:19
2020-07-15,"Respublikinės Šiaulių ligoninės laboratorija",281,85,281,0,0,0,NA,NA,2,0,2020-07-16 19:50:19
2020-07-15,"LSMU ligoninės Kauno klinikų laboratorija",984,233,979,230,5,3,NA,NA,0,0,2020-07-16 19:50:19
2020-07-15,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",186,137,186,137,0,0,NA,NA,132,0,2020-07-16 19:50:19
2020-07-15,"Nacionalinio vėžio instituto laboratorija",65,0,65,0,0,0,NA,NA,0,0,2020-07-16 19:50:19
2020-07-15,"UAB „Baltic Medics“",54,30,54,30,0,0,NA,NA,0,0,2020-07-16 19:50:19
2020-07-15,"UAB „Diagnostikos laboratorija“ („Antėja“)",263,46,263,46,0,0,NA,NA,33,0,2020-07-16 19:50:19
2020-07-15,"UAB „Medicina practica laboratorija“",201,20,201,20,0,0,NA,NA,5,0,2020-07-16 19:50:19
2020-07-15,"UAB „SK Impeks Medicinos diagnostikos centras“",72,0,71,0,1,0,NA,NA,2,0,2020-07-16 19:50:19
2020-07-15,"UAB „Invitro diagnostika“",151,42,150,41,1,1,NA,NA,0,0,2020-07-16 19:50:19
2020-07-15,"Respublikinės Panevėžio ligoninės laboratorija",20,0,20,0,0,0,NA,NA,0,0,2020-07-16 19:50:19
