"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-10-08,"VU ligoninės Santaros klinikų laboratorija",958,0,944,0,14,0,NA,NA,9,0,2020-10-09 10:43:56
2020-10-08,"Klaipėdos universitetinės ligoninės laboratorija",717,155,700,148,17,3,NA,NA,52,45,2020-10-09 10:43:56
2020-10-08,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",380,30,379,30,1,0,NA,NA,35,0,2020-10-09 10:43:56
2020-10-08,"Respublikinės Šiaulių ligoninės laboratorija",458,0,448,0,10,1,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"LSMU ligoninės Kauno klinikų laboratorija",417,0,413,0,4,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",741,421,685,369,56,31,NA,NA,200,200,2020-10-09 10:43:56
2020-10-08,"UAB „Baltic Medics“",586,334,531,280,55,37,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",671,396,616,361,55,35,NA,NA,411,117,2020-10-09 10:43:56
2020-10-08,"UAB „Medicina practica laboratorija“",1195,156,1190,156,5,0,NA,NA,98,8,2020-10-09 10:43:56
2020-10-08,"UAB „SK Impeks Medicinos diagnostikos centras“",132,0,132,0,0,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"UAB „InMedica“",282,53,279,52,3,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"Respublikinės Panevėžio ligoninės laboratorija",121,0,121,0,0,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"Tauragės ligoninės laboratorija",2,0,2,0,0,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",646,440,628,423,18,17,NA,NA,186,186,2020-10-09 10:43:56
2020-10-08,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",73,56,69,52,4,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"SYNLAB Lietuva UAB",116,0,116,0,0,0,NA,NA,0,0,2020-10-09 10:43:56
2020-10-08,"Respublikinės Klaipėdos ligoninės laboratorija",4,0,0,0,4,0,NA,NA,0,0,2020-10-09 10:43:56
