"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-03,"VU ligoninės Santaros klinikų laboratorija",1738,0,1658,0,80,0,NA,NA,99,0
2020-11-03,"Klaipėdos universitetinės ligoninės laboratorija",869,220,742,146,127,74,NA,NA,105,105
2020-11-03,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",130,81,129,81,1,0,NA,NA,45,0
2020-11-03,"Respublikinės Šiaulių ligoninės laboratorija",522,1,492,1,30,0,NA,NA,0,0
2020-11-03,"LSMU ligoninės Kauno klinikų laboratorija",891,0,867,0,24,0,NA,NA,0,0
2020-11-03,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1023,845,819,646,204,194,NA,NA,400,400
2020-11-03,"Nacionalinio vėžio instituto laboratorija",89,0,87,0,2,0,NA,NA,29,0
2020-11-03,"UAB „Baltic Medics“",1186,723,1027,636,159,87,NA,NA,0,0
2020-11-03,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",920,46,899,42,21,4,NA,NA,706,175
2020-11-03,"UAB „Medicina practica laboratorija“",1835,50,1776,26,59,24,NA,NA,199,101
2020-11-03,"UAB „SK Impeks Medicinos diagnostikos centras“",167,0,141,0,26,0,NA,NA,0,0
2020-11-03,"UAB „InMedica“",221,55,205,50,16,5,NA,NA,0,0
2020-11-03,"Respublikinės Panevėžio ligoninės laboratorija",211,0,198,0,13,0,NA,NA,0,0
2020-11-03,"Tauragės ligoninės laboratorija",5,0,5,0,0,0,NA,NA,0,0
2020-11-03,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",1341,832,1148,676,193,156,NA,NA,282,282
2020-11-03,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",886,590,801,519,85,71,NA,NA,128,128
2020-11-03,"SYNLAB Lietuva UAB",13,0,13,0,0,0,NA,NA,0,0
2020-11-03,"Respublikinės Klaipėdos ligoninės laboratorija",12,0,11,0,1,0,NA,NA,0,0
