"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-15,"VU ligoninės Santaros klinikų laboratorija",1159,0,1150,0,9,0,NA,NA,2,0
2020-10-15,"Klaipėdos universitetinės ligoninės laboratorija",800,215,763,189,37,25,NA,NA,16,0
2020-10-15,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",246,2,245,2,1,0,NA,NA,45,0
2020-10-15,"Respublikinės Šiaulių ligoninės laboratorija",467,0,458,0,9,0,NA,NA,0,0
2020-10-15,"LSMU ligoninės Kauno klinikų laboratorija",748,0,741,0,7,0,NA,NA,0,0
2020-10-15,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",837,619,753,537,84,63,NA,NA,49,0
2020-10-15,"Nacionalinio vėžio instituto laboratorija",125,0,125,0,2,0,NA,NA,0,0
2020-10-15,"UAB „Baltic Medics“",693,389,656,365,37,18,NA,NA,0,0
2020-10-15,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",293,55,292,55,1,0,NA,NA,0,0
2020-10-15,"UAB „Medicina practica laboratorija“",1397,124,1339,108,58,16,NA,NA,59,9
2020-10-15,"UAB „SK Impeks Medicinos diagnostikos centras“",128,0,127,0,1,0,NA,NA,0,0
2020-10-15,"UAB „InMedica“",376,56,371,56,5,0,NA,NA,0,0
2020-10-15,"Respublikinės Panevėžio ligoninės laboratorija",185,0,174,0,11,0,NA,NA,0,0
2020-10-15,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",742,445,717,432,25,13,NA,NA,85,85
2020-10-15,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",279,197,241,171,38,24,NA,NA,317,213
2020-10-15,"SYNLAB Lietuva UAB",148,0,148,0,0,0,NA,NA,0,0
2020-10-15,"Respublikinės Klaipėdos ligoninės laboratorija",5,0,5,0,0,0,NA,NA,0,0
