"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-08-11","VU ligoninės Santaros klinikų laboratorija",768,0,760,0,8,0,NA,NA,2,0
"2020-08-11","Klaipėdos universitetinės ligoninės laboratorija",424,94,416,87,8,6,NA,NA,0,0
"2020-08-11","Nacionalinė visuomenės sveikatos priežiūros laboratorija",238,4,238,4,0,0,NA,NA,35,0
"2020-08-11","Respublikinės Šiaulių ligoninės laboratorija",188,1,187,0,1,1,NA,NA,0,0
"2020-08-11","LSMU ligoninės Kauno klinikų laboratorija",679,38,675,36,4,1,NA,NA,250,200
"2020-08-11","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",465,302,461,298,4,3,NA,NA,0,0
"2020-08-11","Nacionalinio vėžio instituto laboratorija",0,0,0,0,0,0,NA,NA,0,0
"2020-08-11","UAB „Baltic Medics“",39,0,39,0,0,0,NA,NA,0,0
"2020-08-11","UAB „Diagnostikos laboratorija“ („Antėja“)",185,23,185,23,0,0,NA,NA,104,0
"2020-08-11","UAB „Medicina practica laboratorija“",650,113,647,112,3,1,NA,NA,0,0
"2020-08-11","UAB „SK Impeks Medicinos diagnostikos centras“",72,0,72,0,0,0,NA,NA,10,0
"2020-08-11","UAB „Invitro diagnostika“",132,54,128,54,4,0,NA,NA,0,0
"2020-08-11","Respublikinės Panevėžio ligoninės laboratorija",58,0,58,0,0,0,NA,NA,0,0
