"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-11,"VU ligoninės Santaros klinikų laboratorija",306,0,296,0,10,0,NA,NA,1,0
2020-10-11,"Klaipėdos universitetinės ligoninės laboratorija",242,40,233,33,9,5,NA,NA,0,0
2020-10-11,"Respublikinės Šiaulių ligoninės laboratorija",162,0,151,0,11,0,NA,NA,0,0
2020-10-11,"LSMU ligoninės Kauno klinikų laboratorija",149,0,148,0,1,0,NA,NA,0,0
2020-10-11,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",558,520,501,466,57,43,NA,NA,300,300
2020-10-11,"UAB „Baltic Medics“",323,270,299,253,24,15,NA,NA,0,0
2020-10-11,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",29,0,29,0,0,0,NA,NA,0,0
2020-10-11,"UAB „Medicina practica laboratorija“",148,36,141,32,7,4,NA,NA,0,0
2020-10-11,"Respublikinės Panevėžio ligoninės laboratorija",29,0,29,0,0,0,NA,NA,0,0
2020-10-11,"Tauragės ligoninės laboratorija",3,0,3,0,0,0,NA,NA,0,0
2020-10-11,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",370,348,364,342,6,6,NA,NA,188,188
