"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-09-15,"VU ligoninės Santaros klinikų laboratorija",947,0,946,0,1,0,NA,NA,4,0,2020-09-16 09:54:29
2020-09-15,"Klaipėdos universitetinės ligoninės laboratorija",544,176,538,174,6,2,NA,NA,0,0,2020-09-16 09:54:29
2020-09-15,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",340,0,338,0,2,0,NA,NA,50,0,2020-09-16 09:54:29
2020-09-15,"Respublikinės Šiaulių ligoninės laboratorija",490,141,474,131,16,10,NA,NA,94,14,2020-09-16 09:54:29
2020-09-15,"LSMU ligoninės Kauno klinikų laboratorija",597,0,592,0,5,0,NA,NA,0,0,2020-09-16 09:54:29
2020-09-15,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,499,622,471,29,15,NA,NA,6,0,2020-09-16 09:54:29
2020-09-15,"UAB „Baltic Medics“",282,220,280,218,2,2,NA,NA,0,0,2020-09-16 09:54:29
2020-09-15,"UAB „Diagnostikos laboratorija“ („Antėja“)",1001,388,977,366,24,13,NA,NA,97,0,2020-09-16 09:54:29
2020-09-15,"UAB „Medicina practica laboratorija“",723,98,713,98,10,0,NA,NA,25,5,2020-09-16 09:54:29
2020-09-15,"UAB „SK Impeks Medicinos diagnostikos centras“",93,0,93,0,0,0,NA,NA,0,0,2020-09-16 09:54:29
2020-09-15,"UAB „Invitro diagnostika“",333,65,314,62,19,0,NA,NA,3,1,2020-09-16 09:54:29
2020-09-15,"Respublikinės Panevėžio ligoninės laboratorija",78,0,77,0,1,0,NA,NA,0,0,2020-09-16 09:54:29
