"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-22,"VU ligoninės Santaros klinikų laboratorija",331,0,283,0,48,0,NA,NA,16,0
2020-11-22,"Klaipėdos universitetinės ligoninės laboratorija",519,291,355,110,164,131,NA,NA,20,20
2020-11-22,"Respublikinės Šiaulių ligoninės laboratorija",350,87,284,56,66,31,NA,NA,0,0
2020-11-22,"LSMU ligoninės Kauno klinikų laboratorija",234,0,221,0,13,0,NA,NA,0,0
2020-11-22,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",744,721,526,507,218,213,NA,NA,60,60
2020-11-22,"UAB „Baltic Medics“",110,0,75,0,35,0,NA,NA,0,0
2020-11-22,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",668,357,508,235,160,122,NA,NA,450,450
2020-11-22,"UAB „Medicina practica laboratorija“",470,226,352,146,118,80,NA,NA,0,0
2020-11-22,"Respublikinės Panevėžio ligoninės laboratorija",157,0,135,0,22,0,NA,NA,0,0
2020-11-22,"VšĮ Respublikinės Vilniaus universitetinės ligoninės laboratorija",112,0,104,0,8,0,NA,NA,0,0
2020-11-22,"Tauragės ligoninės laboratorija",8,0,8,0,0,0,NA,NA,0,0
2020-11-22,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",719,632,516,439,203,193,NA,NA,80,75
2020-11-22,"Regioninės Telšių ligoninės laboratorija",5,0,1,0,4,0,NA,NA,0,0
