"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-08-25,"VU ligoninės Santaros klinikų laboratorija",879,0,876,0,3,0,NA,NA,2,0,2020-08-26 20:14:33
2020-08-25,"Klaipėdos universitetinės ligoninės laboratorija",549,199,544,194,5,3,NA,NA,0,0,2020-08-26 20:14:33
2020-08-25,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",341,0,340,0,1,0,NA,NA,40,0,2020-08-26 20:14:33
2020-08-25,"Respublikinės Šiaulių ligoninės laboratorija",356,78,356,78,0,0,NA,NA,0,0,2020-08-26 20:14:33
2020-08-25,"LSMU ligoninės Kauno klinikų laboratorija",982,82,980,82,2,0,NA,NA,165,150,2020-08-26 20:14:33
2020-08-25,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,469,641,459,10,9,NA,NA,12,0,2020-08-26 20:14:33
2020-08-25,"UAB „Baltic Medics“",29,0,29,0,0,0,NA,NA,0,0,2020-08-26 20:14:33
2020-08-25,"UAB „Diagnostikos laboratorija“ („Antėja“)",480,261,471,255,9,3,NA,NA,604,89,2020-08-26 20:14:33
2020-08-25,"UAB „Medicina practica laboratorija“",505,65,496,61,9,4,NA,NA,0,0,2020-08-26 20:14:33
2020-08-25,"UAB „SK Impeks Medicinos diagnostikos centras“",72,0,72,0,0,0,NA,NA,0,0,2020-08-26 20:14:33
2020-08-25,"UAB „Invitro diagnostika“",165,58,157,52,8,6,NA,NA,1,0,2020-08-26 20:14:33
2020-08-25,"Respublikinės Panevėžio ligoninės laboratorija",72,0,72,0,0,0,NA,NA,0,0,2020-08-26 20:14:33
