"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-08-20","VU ligoninės Santaros klinikų laboratorija",682,0,676,0,6,0,NA,NA,4,0
"2020-08-20","Klaipėdos universitetinės ligoninės laboratorija",3,0,3,0,0,0,NA,NA,0,0
"2020-08-20","Nacionalinė visuomenės sveikatos priežiūros laboratorija",339,0,336,0,3,0,NA,NA,40,0
"2020-08-20","Respublikinės Šiaulių ligoninės laboratorija",217,0,217,0,0,0,NA,NA,0,0
"2020-08-20","LSMU ligoninės Kauno klinikų laboratorija",1698,604,1681,591,17,13,NA,NA,319,319
"2020-08-20","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",465,302,458,296,7,4,NA,NA,133,80
"2020-08-20","UAB „Baltic Medics“",434,126,432,125,2,1,NA,NA,0,0
"2020-08-20","UAB „Diagnostikos laboratorija“ („Antėja“)",376,95,376,95,0,0,NA,NA,227,8
"2020-08-20","UAB „Medicina practica laboratorija“",411,80,410,80,1,0,NA,NA,25,1
"2020-08-20","UAB „SK Impeks Medicinos diagnostikos centras“",96,0,94,0,2,0,NA,NA,0,0
"2020-08-20","UAB „Invitro diagnostika“",202,53,195,48,7,1,NA,NA,0,0
"2020-08-20","Respublikinės Panevėžio ligoninės laboratorija",112,0,112,0,0,0,NA,NA,0,0
