"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-09,"VU ligoninės Santaros klinikų laboratorija",1025,0,1020,0,5,0,NA,NA,85,0
2020-10-09,"Klaipėdos universitetinės ligoninės laboratorija",724,195,699,177,25,16,NA,NA,0,0
2020-10-09,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",410,0,408,0,2,0,NA,NA,35,0
2020-10-09,"Respublikinės Šiaulių ligoninės laboratorija",406,2,385,0,21,2,NA,NA,0,0
2020-10-09,"LSMU ligoninės Kauno klinikų laboratorija",303,0,300,0,3,0,NA,NA,0,0
2020-10-09,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,446,601,397,50,33,NA,NA,53,45
2020-10-09,"Nacionalinio vėžio instituto laboratorija",107,0,107,0,0,0,NA,NA,0,0
2020-10-09,"UAB „Baltic Medics""",510,260,463,223,47,37,NA,NA,0,0
2020-10-09,"UAB „Diagnostikos laboratorija"" („Antėja"" Vilnius)",651,182,633,167,19,15,NA,NA,0,0
2020-10-09,"UAB „Medicina practica laboratorija""",1028,119,996,110,32,9,NA,NA,8,8
2020-10-09,"UAB „SK Impeks Medicinos diagnostikos centras""",108,0,108,0,0,0,NA,NA,0,0
2020-10-09,"UAB „InMedica""",420,54,411,48,9,2,NA,NA,0,0
2020-10-09,"Respublikinės Panevėžio ligoninės laboratorija",113,0,113,0,0,0,NA,NA,0,0
2020-10-09,"Tauragės ligoninės laboratorija",1,0,1,0,0,0,NA,NA,0,0
2020-10-09,"UAB „Diagnostikos laboratorija"" („Antėja"" Kaunas)",1021,758,1005,744,16,14,NA,NA,376,376
2020-10-09,"UAB „Diagnostikos laboratorija"" („Antėja"" Klaipėda)",348,284,334,270,14,14,NA,NA,250,0
2020-10-09,"Respublikinės Klaipėdos ligoninės laboratorija",1,0,1,0,0,0,NA,NA,0,0
