"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-12,"VU ligoninės Santaros klinikų laboratorija",1024,0,1019,0,5,0,NA,NA,3,0
2020-10-12,"Klaipėdos universitetinės ligoninės laboratorija",753,182,742,184,11,5,NA,NA,54,36
2020-10-12,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",60,56,59,55,1,1,NA,NA,50,0
2020-10-12,"Respublikinės Šiaulių ligoninės laboratorija",372,0,356,0,16,0,NA,NA,0,0
2020-10-12,"LSMU ligoninės Kauno klinikų laboratorija",585,0,578,0,7,0,NA,NA,0,0
2020-10-12,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",837,650,791,604,46,31,NA,NA,58,0
2020-10-12,"Nacionalinio vėžio instituto laboratorija",131,0,131,0,0,0,NA,NA,2,0
2020-10-12,"UAB „Baltic Medics“",597,310,567,287,30,23,NA,NA,0,0
2020-10-12,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",325,82,324,81,1,1,NA,NA,0,0
2020-10-12,"UAB „Medicina practica laboratorija“",1153,37,1127,37,26,0,NA,NA,95,0
2020-10-12,"UAB „SK Impeks Medicinos diagnostikos centras“",194,0,190,0,4,0,NA,NA,0,0
2020-10-12,"Respublikinės Panevėžio ligoninės laboratorija",125,0,125,0,0,0,NA,NA,0,0
2020-10-12,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",1018,600,999,581,19,19,NA,NA,188,188
2020-10-12,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",80,78,79,77,1,1,NA,NA,184,151
2020-10-12,"SYNLAB Lietuva UAB",7,0,7,0,0,0,NA,NA,0,0
2020-10-12,"Respublikinės Klaipėdos ligoninės laboratorija",5,0,5,0,0,0,NA,NA,0,0
