"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-13,"VU ligoninės Santaros klinikų laboratorija",1608,0,1513,0,95,0,NA,NA,212,0
2020-11-13,"Klaipėdos universitetinės ligoninės laboratorija",815,344,647,213,168,120,NA,NA,90,90
2020-11-13,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",342,0,318,0,24,0,NA,NA,40,0
2020-11-13,"Respublikinės Šiaulių ligoninės laboratorija",624,0,576,0,48,0,NA,NA,0,0
2020-11-13,"LSMU ligoninės Kauno klinikų laboratorija",848,0,821,0,27,0,NA,NA,30,0
2020-11-13,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1235,1065,947,811,288,269,NA,NA,558,300
2020-11-13,"Nacionalinio vėžio instituto laboratorija",80,0,80,0,0,0,NA,NA,25,0
2020-11-13,"UAB „Baltic Medics""",1401,883,1167,783,234,87,NA,NA,0,0
2020-11-13,"UAB „Diagnostikos laboratorija"" („Antėja"" Vilnius)",1014,496,853,366,161,130,NA,NA,537,333
2020-11-13,"UAB „Medicina practica laboratorija""",2405,332,2184,259,221,73,NA,NA,25,10
2020-11-13,"UAB „SK Impeks Medicinos diagnostikos centras""",188,0,172,0,16,0,NA,NA,0,0
2020-11-13,"UAB „InMedica""",759,246,655,187,104,57,NA,NA,0,0
2020-11-13,"Respublikinės Panevėžio ligoninės laboratorija",156,0,144,0,12,0,NA,NA,0,0
2020-11-13,"Tauragės ligoninės laboratorija",2,0,1,0,1,0,NA,NA,0,0
2020-11-13,"UAB „Diagnostikos laboratorija"" („Antėja"" Kaunas)",1409,790,1264,663,145,99,NA,NA,200,150
2020-11-13,"UAB „Diagnostikos laboratorija"" („Antėja"" Klaipėda)",881,204,764,286,117,35,NA,NA,501,295
2020-11-13,"SYNLAB Lietuva UAB",417,0,319,0,98,0,NA,NA,0,0
2020-11-13,"Respublikinės Klaipėdos ligoninės laboratorija",3,0,3,0,0,0,NA,NA,0,0
2020-11-13,"Klaipėdos vaikų ligoninės laboratorija",1,0,1,0,0,0,NA,NA,0,0
2020-11-13,"Regioninės Telšių ligoninės laboratorija",3,0,2,0,1,0,NA,NA,0,0
2020-11-13,"UAB Rezus.lt",388,300,233,155,155,145,NA,NA,0,0
