"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-10-20,"VU ligoninės Santaros klinikų laboratorija",1127,0,1119,0,8,0,NA,NA,116,0
2020-10-20,"Klaipėdos universitetinės ligoninės laboratorija",785,193,749,170,36,23,NA,NA,0,0
2020-10-20,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",292,0,288,0,4,0,NA,NA,45,0
2020-10-20,"Respublikinės Šiaulių ligoninės laboratorija",583,0,557,0,26,0,NA,NA,0,0
2020-10-20,"LSMU ligoninės Kauno klinikų laboratorija",806,0,789,0,17,0,NA,NA,0,0
2020-10-20,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1118,895,936,716,182,166,NA,NA,465,402
2020-10-20,"Nacionalinio vėžio instituto laboratorija",72,0,71,0,1,0,NA,NA,8,0
2020-10-20,"UAB „Baltic Medics“",663,350,624,320,39,22,NA,NA,0,0
2020-10-20,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",586,37,578,35,8,2,NA,NA,458,43
2020-10-20,"UAB „Medicina practica laboratorija“",1684,90,1621,82,63,8,NA,NA,141,22
2020-10-20,"UAB „SK Impeks Medicinos diagnostikos centras“",96,0,95,0,1,0,NA,NA,0,0
2020-10-20,"UAB „InMedica“",282,67,258,53,24,10,NA,NA,0,0
2020-10-20,"Respublikinės Panevėžio ligoninės laboratorija",148,0,146,0,2,0,NA,NA,0,0
2020-10-20,"Tauragės ligoninės laboratorija",1,0,1,0,0,0,NA,NA,0,0
2020-10-20,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",894,658,820,594,74,64,NA,NA,0,0
2020-10-20,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",410,313,404,308,6,5,NA,NA,12,12
2020-10-20,"SYNLAB Lietuva UAB",68,24,60,17,8,7,NA,NA,0,0
2020-10-20,"Respublikinės Klaipėdos ligoninės laboratorija",2,0,2,0,0,0,NA,NA,0,0
