"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-05,"VU ligoninės Santaros klinikų laboratorija",1525,0,1489,0,36,0,NA,NA,71,0
2020-11-05,"Klaipėdos universitetinės ligoninės laboratorija",849,298,648,148,201,150,NA,NA,88,88
2020-11-05,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",342,45,331,45,11,0,NA,NA,45,0
2020-11-05,"Respublikinės Šiaulių ligoninės laboratorija",599,0,565,0,34,0,NA,NA,0,0
2020-11-05,"LSMU ligoninės Kauno klinikų laboratorija",786,0,761,0,25,0,NA,NA,0,0
2020-11-05,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1116,966,893,751,223,214,NA,NA,600,400
2020-11-05,"Nacionalinio vėžio instituto laboratorija",92,0,91,0,1,0,NA,NA,5,0
2020-11-05,"UAB „Baltic Medics“",1188,750,1042,675,146,94,NA,NA,145,96
2020-11-05,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",1841,533,1624,371,217,162,NA,NA,172,0
2020-11-05,"UAB „Medicina practica laboratorija“",3500,120,3282,76,218,44,NA,NA,339,103
2020-11-05,"UAB „SK Impeks Medicinos diagnostikos centras“",252,0,240,0,12,0,NA,NA,0,0
2020-11-05,"UAB „InMedica“",771,100,678,65,93,35,NA,NA,0,0
2020-11-05,"Respublikinės Panevėžio ligoninės laboratorija",139,0,129,0,10,0,NA,NA,0,0
2020-11-05,"Tauragės ligoninės laboratorija",3,0,3,0,0,0,NA,NA,0,0
2020-11-05,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",1169,608,1018,491,151,117,NA,NA,200,200
2020-11-05,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",937,501,762,359,175,142,NA,NA,296,147
2020-11-05,"SYNLAB Lietuva UAB",376,0,352,0,24,0,NA,NA,0,0
2020-11-05,"Respublikinės Klaipėdos ligoninės laboratorija",4,0,4,0,0,0,NA,NA,0,0
