"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-06-18","VU ligoninės Santaros klinikų laboratorija",1003,0,996,0,7,0,NA,NA,5,0
"2020-06-18","Klaipėdos universitetinės ligoninės laboratorija",413,167,412,166,1,0,NA,NA,0,0
"2020-06-18","Nacionalinė visuomenės sveikatos priežiūros laboratorija",505,0,505,0,0,0,NA,NA,45,0
"2020-06-18","Respublikinės Šiaulių ligoninės laboratorija",384,77,382,75,2,2,NA,NA,0,0
"2020-06-18","LSMU ligoninės Kauno klinikų laboratorija",1065,150,1065,150,0,0,NA,NA,0,0
"2020-06-18","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",650,358,640,353,10,0,NA,NA,177,240
"2020-06-18","Nacionalinio vėžio instituto laboratorija",104,0,104,0,0,0,NA,NA,0,0
"2020-06-18","UAB „Baltic Medics“",46,15,46,15,0,0,NA,NA,0,0
"2020-06-18","UAB „Diagnostikos laboratorija“ („Antėja“)",370,45,370,45,0,0,NA,NA,62,0
"2020-06-18","UAB „Medicina practica laboratorija“",189,56,189,56,0,0,NA,NA,39,12
"2020-06-18","UAB „SK Impeks Medicinos diagnostikos centras“",84,0,84,0,0,0,NA,NA,34,0
"2020-06-18","UAB „Invitro diagnostika“",72,53,72,53,0,0,NA,NA,0,0
"2020-06-18","Respublikinės Panevėžio ligoninės laboratorija",84,0,84,0,0,0,NA,NA,0,0
