"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-14,"VU ligoninės Santaros klinikų laboratorija",715,71,630,54,85,17,NA,NA,12,0
2020-11-14,"Klaipėdos universitetinės ligoninės laboratorija",288,255,111,111,179,144,NA,NA,62,62
2020-11-14,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",173,0,168,0,5,0,NA,NA,40,0
2020-11-14,"Respublikinės Šiaulių ligoninės laboratorija",353,8,317,7,36,1,NA,NA,0,0
2020-11-14,"LSMU ligoninės Kauno klinikų laboratorija",461,0,434,0,27,0,NA,NA,4,0
2020-11-14,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1116,940,864,704,252,235,NA,NA,420,420
2020-11-14,"UAB „Baltic Medics""",409,124,358,112,51,13,NA,NA,0,0
2020-11-14,"UAB „Diagnostikos laboratorija"" („Antėja"" Vilnius)",1353,894,1119,683,234,211,NA,NA,600,600
2020-11-14,"UAB „Medicina practica laboratorija""",1220,484,1027,363,193,121,NA,NA,2,0
2020-11-14,"Respublikinės Panevėžio ligoninės laboratorija",126,0,116,0,10,0,NA,NA,0,0
2020-11-14,"Tauragės ligoninės laboratorija",6,0,3,0,3,0,NA,NA,0,0
2020-11-14,"UAB „Diagnostikos laboratorija"" („Antėja"" Kaunas)",358,259,293,210,65,50,NA,NA,43,43
2020-11-14,"Respublikinės Klaipėdos ligoninės laboratorija",26,0,11,0,15,0,NA,NA,0,0
