"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
"2020-05-29","VU ligoninės Santaros klinikų laboratorija",762,0,752,0,10,0,NA,NA,12,0,2020-05-30 11:56:58
"2020-05-29","Klaipėdos universitetinės ligoninės laboratorija",428,148,421,146,7,1,NA,NA,12,12,2020-05-30 11:56:58
"2020-05-29","Nacionalinė visuomenės sveikatos priežiūros laboratorija",319,14,317,14,2,0,NA,NA,45,0,2020-05-30 11:56:58
"2020-05-29","Respublikinės Šiaulių ligoninės laboratorija",390,75,390,75,0,0,NA,NA,10,0,2020-05-30 11:56:58
"2020-05-29","LSMU ligoninės Kauno klinikų laboratorija",1404,191,1404,191,0,0,NA,NA,80,50,2020-05-30 11:56:58
"2020-05-29","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",273,273,267,267,6,4,NA,NA,75,75,2020-05-30 11:56:58
"2020-05-29","Nacionalinio vėžio instituto laboratorija",392,40,392,40,0,0,NA,NA,2,0,2020-05-30 11:56:58
"2020-05-29","UAB „Baltic Medics“",46,46,46,46,0,0,NA,NA,0,0,2020-05-30 11:56:58
"2020-05-29","UAB „Diagnostikos laboratorija“",464,27,464,27,0,0,NA,NA,529,36,2020-05-30 11:56:58
"2020-05-29","UAB „Medicina practica laboratorija“",484,45,484,45,0,0,NA,NA,55,0,2020-05-30 11:56:58
"2020-05-29","UAB „SK Impeks Medicinos diagnostikos centras“",82,0,82,0,0,0,NA,NA,1,0,2020-05-30 11:56:58
"2020-05-29","VU Gyvybės mokslų centras",0,0,0,0,0,0,NA,NA,0,0,2020-05-30 11:56:58
"2020-05-29","UAB „Invitro diagnostika“",63,58,63,58,0,0,NA,NA,125,47,2020-05-30 11:56:58
"2020-05-29","Respublikinės Panevėžio ligoninės laboratorija",230,0,230,0,0,0,NA,NA,0,0,2020-05-30 11:56:58
