"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
"2020-06-03","VU ligoninės Santaros klinikų laboratorija",924,0,917,0,7,0,NA,NA,3,0,2020-06-04 10:55:40
"2020-06-03","Klaipėdos universitetinės ligoninės laboratorija",432,159,429,157,3,1,NA,NA,0,0,2020-06-04 10:55:40
"2020-06-03","Nacionalinė visuomenės sveikatos priežiūros laboratorija",518,33,517,33,1,0,NA,NA,45,0,2020-06-04 10:55:40
"2020-06-03","Respublikinės Šiaulių ligoninės laboratorija",436,76,436,76,0,0,NA,NA,0,0,2020-06-04 10:55:40
"2020-06-03","LSMU ligoninės Kauno klinikų laboratorija",1348,235,1345,235,3,0,NA,NA,0,0,2020-06-04 10:55:40
"2020-06-03","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",744,420,737,413,7,5,NA,NA,60,60,2020-06-04 10:55:40
"2020-06-03","Nacionalinio vėžio instituto laboratorija",176,43,175,43,1,0,NA,NA,2,0,2020-06-04 10:55:40
"2020-06-03","UAB „Baltic Medics“",76,47,76,47,0,0,NA,NA,0,0,2020-06-04 10:55:40
"2020-06-03","UAB „Diagnostikos laboratorija“",592,43,592,43,0,0,NA,NA,451,43,2020-06-04 10:55:40
"2020-06-03","UAB „Medicina practica laboratorija“",268,64,268,64,0,0,NA,NA,26,26,2020-06-04 10:55:40
"2020-06-03","UAB „SK Impeks Medicinos diagnostikos centras“",70,0,70,0,0,0,NA,NA,60,0,2020-06-04 10:55:40
"2020-06-03","UAB „Invitro diagnostika“",222,49,222,49,0,0,NA,NA,0,0,2020-06-04 10:55:40
"2020-06-03","Respublikinės Panevėžio ligoninės laboratorija",122,0,122,0,0,0,NA,NA,0,0,2020-06-04 10:55:40
