"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-08-24,"VU ligoninės Santaros klinikų laboratorija",995,0,978,0,17,0,NA,NA,0,0,2020-08-25 17:38:56
2020-08-24,"Klaipėdos universitetinės ligoninės laboratorija",608,203,602,197,6,5,NA,NA,0,0,2020-08-25 17:38:56
2020-08-24,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",105,25,102,25,3,0,NA,NA,35,0,2020-08-25 17:38:56
2020-08-24,"Respublikinės Šiaulių ligoninės laboratorija",282,75,282,75,0,0,NA,NA,0,0,2020-08-25 17:38:56
2020-08-24,"LSMU ligoninės Kauno klinikų laboratorija",953,75,946,73,7,2,NA,NA,256,256,2020-08-25 17:38:56
2020-08-24,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",558,466,541,450,17,12,NA,NA,26,0,2020-08-25 17:38:56
2020-08-24,"Nacionalinio vėžio instituto laboratorija",112,0,112,0,0,0,NA,NA,1,0,2020-08-25 17:38:56
2020-08-24,"UAB „Baltic Medics“",115,45,115,45,0,0,NA,NA,0,0,2020-08-25 17:38:56
2020-08-24,"UAB „Diagnostikos laboratorija“ („Antėja“)",111,14,109,13,2,1,NA,NA,193,27,2020-08-25 17:38:56
2020-08-24,"UAB „Medicina practica laboratorija“",517,91,513,87,4,4,NA,NA,0,0,2020-08-25 17:38:56
2020-08-24,"UAB „SK Impeks Medicinos diagnostikos centras“",108,0,108,0,0,0,NA,NA,0,0,2020-08-25 17:38:56
2020-08-24,"Respublikinės Panevėžio ligoninės laboratorija",93,0,93,0,0,0,NA,NA,0,0,2020-08-25 17:38:56
