"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-07-02,"VU ligoninės Santaros klinikų laboratorija",678,0,672,0,6,0,NA,NA,6,0,2020-07-03 11:26:47
2020-07-02,"Klaipėdos universitetinės ligoninės laboratorija",374,137,374,137,0,0,NA,NA,0,0,2020-07-03 11:26:47
2020-07-02,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",411,0,409,0,2,0,NA,NA,30,0,2020-07-03 11:26:47
2020-07-02,"Respublikinės Šiaulių ligoninės laboratorija",489,128,488,127,1,0,NA,NA,18,0,2020-07-03 11:26:47
2020-07-02,"LSMU ligoninės Kauno klinikų laboratorija",838,150,837,150,1,0,NA,NA,0,0,2020-07-03 11:26:47
2020-07-02,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",372,281,371,280,1,0,NA,NA,24,24,2020-07-03 11:26:47
2020-07-02,"Nacionalinio vėžio instituto laboratorija",80,0,80,0,0,0,NA,NA,0,0,2020-07-03 11:26:47
2020-07-02,"UAB „Baltic Medics“",29,0,29,0,0,0,NA,NA,0,0,2020-07-03 11:26:47
2020-07-02,"UAB „Diagnostikos laboratorija“ („Antėja“)",281,69,281,69,0,0,NA,NA,351,20,2020-07-03 11:26:47
2020-07-02,"UAB „Medicina practica laboratorija“",343,27,343,27,0,0,NA,NA,57,0,2020-07-03 11:26:47
2020-07-02,"UAB „SK Impeks Medicinos diagnostikos centras“",203,0,203,0,0,0,NA,NA,27,0,2020-07-03 11:26:47
2020-07-02,"UAB „Invitro diagnostika“",89,28,89,28,0,0,NA,NA,0,0,2020-07-03 11:26:47
2020-07-02,"Respublikinės Panevėžio ligoninės laboratorija",35,0,35,0,0,0,NA,NA,0,0,2020-07-03 11:26:47
