"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
"2020-05-16","VU ligoninės Santaros klinikų laboratorija",216,0,209,0,7,0,NA,NA,14,0,2020-05-17 11:22:13
"2020-05-16","Klaipėdos universitetinės ligoninės laboratorija",280,111,275,109,5,1,NA,NA,60,60,2020-05-17 11:22:13
"2020-05-16","Nacionalinė visuomenės sveikatos priežiūros laboratorija",606,119,606,119,0,0,NA,NA,215,80,2020-05-17 11:22:13
"2020-05-16","Respublikinės Šiaulių ligoninės laboratorija",492,154,492,154,0,0,NA,NA,4,0,2020-05-17 11:22:13
"2020-05-16","LSMU ligoninės Kauno klinikų laboratorija",944,429,941,429,3,0,NA,NA,0,0,2020-05-17 11:22:13
"2020-05-16","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",735,735,731,731,4,3,NA,NA,0,0,2020-05-17 11:22:13
"2020-05-16","Nacionalinio vėžio instituto laboratorija",338,40,338,40,0,0,NA,NA,1,0,2020-05-17 11:22:13
"2020-05-16","UAB „Baltic Medics“",194,194,194,194,0,0,NA,NA,0,0,2020-05-17 11:22:13
"2020-05-16","UAB „Diagnostikos laboratorija“",461,296,461,296,0,0,NA,NA,720,720,2020-05-17 11:22:13
"2020-05-16","UAB „Medicina practica laboratorija“",284,0,284,0,0,0,NA,NA,22,0,2020-05-17 11:22:13
"2020-05-16","Respublikinės Panevėžio ligoninės laboratorija",136,0,136,0,0,0,NA,NA,0,0,2020-05-17 11:22:13
