"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
"2020-05-18","VU ligoninės Santaros klinikų laboratorija",848,0,828,0,20,0,NA,NA,12,0,2020-05-19 15:28:27
"2020-05-18","Klaipėdos universitetinės ligoninės laboratorija",527,132,524,132,3,0,NA,NA,0,0,2020-05-19 15:28:27
"2020-05-18","Nacionalinė visuomenės sveikatos priežiūros laboratorija",306,130,304,129,2,0,NA,NA,225,24,2020-05-19 15:28:27
"2020-05-18","Respublikinės Šiaulių ligoninės laboratorija",473,119,473,119,0,0,NA,NA,0,0,2020-05-19 15:28:27
"2020-05-18","LSMU ligoninės Kauno klinikų laboratorija",1330,230,1328,230,2,0,NA,NA,150,100,2020-05-19 15:28:27
"2020-05-18","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",793,793,783,783,10,9,NA,NA,200,200,2020-05-19 15:28:27
"2020-05-18","Nacionalinio vėžio instituto laboratorija",546,348,546,348,0,0,NA,NA,348,0,2020-05-19 15:28:27
"2020-05-18","UAB „Baltic Medics“",273,272,273,272,0,0,NA,NA,0,0,2020-05-19 15:28:27
"2020-05-18","UAB „Diagnostikos laboratorija“",842,795,842,795,0,0,NA,NA,365,111,2020-05-19 15:28:27
"2020-05-18","UAB „Medicina practica laboratorija“",150,0,150,0,0,0,NA,NA,223,0,2020-05-19 15:28:27
"2020-05-18","UAB „SK Impeks Medicinos diagnostikos centras“",24,0,24,0,0,0,NA,NA,0,0,2020-05-19 15:28:27
"2020-05-18","VU Gyvybės mokslų centras",327,0,327,0,0,0,NA,NA,354,0,2020-05-19 15:28:27
"2020-05-18","Respublikinės Panevėžio ligoninės laboratorija",57,0,57,0,0,0,NA,NA,0,0,2020-05-19 15:28:27
