"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-06-22,"VU ligoninės Santaros klinikų laboratorija",947,0,945,0,2,0,NA,NA,8,0,2020-06-23 11:32:33
2020-06-22,"Klaipėdos universitetinės ligoninės laboratorija",446,148,446,148,0,0,NA,NA,0,0,2020-06-23 11:32:33
2020-06-22,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",228,125,228,125,0,0,NA,NA,45,0,2020-06-23 11:32:33
2020-06-22,"Respublikinės Šiaulių ligoninės laboratorija",405,82,405,82,0,0,NA,NA,4,0,2020-06-23 11:32:33
2020-06-22,"LSMU ligoninės Kauno klinikų laboratorija",968,182,968,182,0,0,NA,NA,0,0,2020-06-23 11:32:33
2020-06-22,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",256,234,256,234,0,0,NA,NA,0,0,2020-06-23 11:32:33
2020-06-22,"Nacionalinio vėžio instituto laboratorija",108,0,108,0,0,0,NA,NA,0,0,2020-06-23 11:32:33
2020-06-22,"UAB „Baltic Medics“",70,33,70,33,0,0,NA,NA,0,0,2020-06-23 11:32:33
2020-06-22,"UAB „Diagnostikos laboratorija“ („Antėja“)",311,39,311,39,0,0,NA,NA,304,0,2020-06-23 11:32:33
2020-06-22,"UAB „Medicina practica laboratorija“",102,12,102,12,0,0,NA,NA,50,20,2020-06-23 11:32:33
2020-06-22,"UAB „SK Impeks Medicinos diagnostikos centras“",33,0,33,0,0,0,NA,NA,0,0,2020-06-23 11:32:33
2020-06-22,"Respublikinės Panevėžio ligoninės laboratorija",78,0,78,0,0,0,NA,NA,0,0,2020-06-23 11:32:33
