"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
"2020-05-13","VU ligoninės Santaros klinikų laboratorija",819,0,809,0,10,0,NA,NA,17,0,2020-05-14 10:49:52
"2020-05-13","Klaipėdos universitetinės ligoninės laboratorija",658,203,649,199,9,1,NA,NA,60,60,2020-05-14 10:49:52
"2020-05-13","Nacionalinė visuomenės sveikatos priežiūros laboratorija",595,83,594,83,1,0,NA,NA,240,0,2020-05-14 10:49:52
"2020-05-13","Respublikinės Šiaulių ligoninės laboratorija",819,141,819,141,0,0,NA,NA,0,0,2020-05-14 10:49:52
"2020-05-13","LSMU ligoninės Kauno klinikų laboratorija",2001,396,2000,396,1,0,NA,NA,150,150,2020-05-14 10:49:52
"2020-05-13","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",712,649,708,645,4,1,NA,NA,200,200,2020-05-14 10:49:52
"2020-05-13","Nacionalinio vėžio instituto laboratorija",537,80,537,80,0,0,NA,NA,140,33,2020-05-14 10:49:52
"2020-05-13","UAB „Baltic Medics“",274,274,274,274,0,0,NA,NA,0,0,2020-05-14 10:49:52
"2020-05-13","UAB „Diagnostikos laboratorija“",465,188,465,188,0,0,NA,NA,341,84,2020-05-14 10:49:52
"2020-05-13","UAB „Medicina practica laboratorija“",277,0,277,0,0,0,NA,NA,98,0,2020-05-14 10:49:52
"2020-05-13","UAB „SK Impeks Medicinos diagnostikos centras“",163,0,156,0,7,0,NA,NA,71,0,2020-05-14 10:49:52
"2020-05-13","VU Gyvybės mokslų centras",317,0,317,0,0,0,NA,NA,0,0,2020-05-14 10:49:52
"2020-05-13","UAB „Invitro diagnostika“",210,0,210,0,0,0,NA,NA,0,0,2020-05-14 10:49:52
"2020-05-13","Respublikinės Panevėžio ligoninės laboratorija",142,0,142,0,0,0,NA,NA,0,0,2020-05-14 10:49:52
