"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
50,"61","Mažeikių r.","8","Telšių apskr.",NA,7,4,3,1,5,1,2020-06-06 06:56:34,0
51,"45","Ignalinos r.","9","Utenos apskr.",NA,5,1,4,2,3,0,2020-06-06 06:56:34,2
52,"78","Telšių r.","8","Telšių apskr.",NA,10,5,5,0,8,2,2020-06-06 06:56:35,0
53,"68","Plungės r.","8","Telšių apskr.",NA,8,5,3,1,7,0,2020-06-06 06:56:36,1
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,13,44,2,2020-06-06 06:56:36,0
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,2020-06-06 06:56:37,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,2020-06-06 06:56:37,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,2020-06-06 06:56:38,0
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,445,192,253,123,300,17,2020-06-06 06:56:39,37
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,2020-06-06 06:56:40,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,276,92,184,43,217,16,2020-06-06 06:56:41,4
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,2020-06-06 06:56:41,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,2020-06-06 06:56:42,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,0,20,1,2020-06-06 06:56:42,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,14,9,5,1,12,1,2020-06-06 06:56:43,0
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-06-06 06:56:43,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,2020-06-06 06:56:43,0
