"administrative_level_2","administrative_level_3","age","population"
"Alytaus apskr.","Alytaus m.","0-4",2141
"Alytaus apskr.","Alytaus m.","10-14",2078
"Alytaus apskr.","Alytaus m.","15-19",2238
"Alytaus apskr.","Alytaus m.","20-24",2795
"Alytaus apskr.","Alytaus m.","25-29",3156
"Alytaus apskr.","Alytaus m.","30-34",2473
"Alytaus apskr.","Alytaus m.","35-39",2430
"Alytaus apskr.","Alytaus m.","40-44",2929
"Alytaus apskr.","Alytaus m.","45-49",3647
"Alytaus apskr.","Alytaus m.","5-9",2158
"Alytaus apskr.","Alytaus m.","50-54",3794
"Alytaus apskr.","Alytaus m.","55-59",4228
"Alytaus apskr.","Alytaus m.","60-64",3973
"Alytaus apskr.","Alytaus m.","65-69",3433
"Alytaus apskr.","Alytaus m.","70-74",2822
"Alytaus apskr.","Alytaus m.","75-79",2041
"Alytaus apskr.","Alytaus m.","80+",2869
"Alytaus apskr.","Alytaus r.","0-4",964
"Alytaus apskr.","Alytaus r.","10-14",1169
"Alytaus apskr.","Alytaus r.","15-19",1317
"Alytaus apskr.","Alytaus r.","20-24",1510
"Alytaus apskr.","Alytaus r.","25-29",1640
"Alytaus apskr.","Alytaus r.","30-34",1184
"Alytaus apskr.","Alytaus r.","35-39",1196
"Alytaus apskr.","Alytaus r.","40-44",1330
"Alytaus apskr.","Alytaus r.","45-49",1756
"Alytaus apskr.","Alytaus r.","5-9",1205
"Alytaus apskr.","Alytaus r.","50-54",2090
"Alytaus apskr.","Alytaus r.","55-59",2247
"Alytaus apskr.","Alytaus r.","60-64",2113
"Alytaus apskr.","Alytaus r.","65-69",1602
"Alytaus apskr.","Alytaus r.","70-74",1298
"Alytaus apskr.","Alytaus r.","75-79",1226
"Alytaus apskr.","Alytaus r.","80+",1995
"Alytaus apskr.","Druskininkų","0-4",861
"Alytaus apskr.","Druskininkų","10-14",746
"Alytaus apskr.","Druskininkų","15-19",764
"Alytaus apskr.","Druskininkų","20-24",958
"Alytaus apskr.","Druskininkų","25-29",1240
"Alytaus apskr.","Druskininkų","30-34",929
"Alytaus apskr.","Druskininkų","35-39",857
"Alytaus apskr.","Druskininkų","40-44",885
"Alytaus apskr.","Druskininkų","45-49",1238
"Alytaus apskr.","Druskininkų","5-9",937
"Alytaus apskr.","Druskininkų","50-54",1603
"Alytaus apskr.","Druskininkų","55-59",1724
"Alytaus apskr.","Druskininkų","60-64",1694
"Alytaus apskr.","Druskininkų","65-69",1178
"Alytaus apskr.","Druskininkų","70-74",1028
"Alytaus apskr.","Druskininkų","75-79",949
"Alytaus apskr.","Druskininkų","80+",1425
"Alytaus apskr.","Lazdijų r.","0-4",683
"Alytaus apskr.","Lazdijų r.","10-14",684
"Alytaus apskr.","Lazdijų r.","15-19",864
"Alytaus apskr.","Lazdijų r.","20-24",1159
"Alytaus apskr.","Lazdijų r.","25-29",1161
"Alytaus apskr.","Lazdijų r.","30-34",833
"Alytaus apskr.","Lazdijų r.","35-39",580
"Alytaus apskr.","Lazdijų r.","40-44",818
"Alytaus apskr.","Lazdijų r.","45-49",1211
"Alytaus apskr.","Lazdijų r.","5-9",851
"Alytaus apskr.","Lazdijų r.","50-54",1544
"Alytaus apskr.","Lazdijų r.","55-59",1594
"Alytaus apskr.","Lazdijų r.","60-64",1432
"Alytaus apskr.","Lazdijų r.","65-69",1074
"Alytaus apskr.","Lazdijų r.","70-74",891
"Alytaus apskr.","Lazdijų r.","75-79",842
"Alytaus apskr.","Lazdijų r.","80+",1618
"Alytaus apskr.","Varėnos r.","0-4",810
"Alytaus apskr.","Varėnos r.","10-14",779
"Alytaus apskr.","Varėnos r.","15-19",980
"Alytaus apskr.","Varėnos r.","20-24",1243
"Alytaus apskr.","Varėnos r.","25-29",1314
"Alytaus apskr.","Varėnos r.","30-34",846
"Alytaus apskr.","Varėnos r.","35-39",703
"Alytaus apskr.","Varėnos r.","40-44",974
"Alytaus apskr.","Varėnos r.","45-49",1344
"Alytaus apskr.","Varėnos r.","5-9",939
"Alytaus apskr.","Varėnos r.","50-54",1715
"Alytaus apskr.","Varėnos r.","55-59",1841
"Alytaus apskr.","Varėnos r.","60-64",1853
"Alytaus apskr.","Varėnos r.","65-69",1291
"Alytaus apskr.","Varėnos r.","70-74",1089
"Alytaus apskr.","Varėnos r.","75-79",1044
"Alytaus apskr.","Varėnos r.","80+",1755
"Kauno apskr.","Birštono","0-4",175
"Kauno apskr.","Birštono","10-14",165
"Kauno apskr.","Birštono","15-19",171
"Kauno apskr.","Birštono","20-24",159
"Kauno apskr.","Birštono","25-29",288
"Kauno apskr.","Birštono","30-34",241
"Kauno apskr.","Birštono","35-39",147
"Kauno apskr.","Birštono","40-44",172
"Kauno apskr.","Birštono","45-49",261
"Kauno apskr.","Birštono","5-9",201
"Kauno apskr.","Birštono","50-54",292
"Kauno apskr.","Birštono","55-59",359
"Kauno apskr.","Birštono","60-64",413
"Kauno apskr.","Birštono","65-69",273
"Kauno apskr.","Birštono","70-74",216
"Kauno apskr.","Birštono","75-79",167
"Kauno apskr.","Birštono","80+",337
"Kauno apskr.","Jonavos r.","0-4",1966
"Kauno apskr.","Jonavos r.","10-14",2056
"Kauno apskr.","Jonavos r.","15-19",2259
"Kauno apskr.","Jonavos r.","20-24",2658
"Kauno apskr.","Jonavos r.","25-29",2572
"Kauno apskr.","Jonavos r.","30-34",2123
"Kauno apskr.","Jonavos r.","35-39",2037
"Kauno apskr.","Jonavos r.","40-44",2395
"Kauno apskr.","Jonavos r.","45-49",2923
"Kauno apskr.","Jonavos r.","5-9",2146
"Kauno apskr.","Jonavos r.","50-54",3063
"Kauno apskr.","Jonavos r.","55-59",3101
"Kauno apskr.","Jonavos r.","60-64",3013
"Kauno apskr.","Jonavos r.","65-69",2532
"Kauno apskr.","Jonavos r.","70-74",2116
"Kauno apskr.","Jonavos r.","75-79",1598
"Kauno apskr.","Jonavos r.","80+",2192
"Kauno apskr.","Kaišiadorių r.","0-4",1180
"Kauno apskr.","Kaišiadorių r.","10-14",1339
"Kauno apskr.","Kaišiadorių r.","15-19",1394
"Kauno apskr.","Kaišiadorių r.","20-24",1756
"Kauno apskr.","Kaišiadorių r.","25-29",1863
"Kauno apskr.","Kaišiadorių r.","30-34",2206
"Kauno apskr.","Kaišiadorių r.","35-39",1702
"Kauno apskr.","Kaišiadorių r.","40-44",1838
"Kauno apskr.","Kaišiadorių r.","45-49",2100
"Kauno apskr.","Kaišiadorių r.","5-9",1300
"Kauno apskr.","Kaišiadorių r.","50-54",2300
"Kauno apskr.","Kaišiadorių r.","55-59",2262
"Kauno apskr.","Kaišiadorių r.","60-64",2125
"Kauno apskr.","Kaišiadorių r.","65-69",1642
"Kauno apskr.","Kaišiadorių r.","70-74",1401
"Kauno apskr.","Kaišiadorių r.","75-79",1078
"Kauno apskr.","Kaišiadorių r.","80+",1705
"Kauno apskr.","Kauno m.","0-4",15815
"Kauno apskr.","Kauno m.","10-14",13840
"Kauno apskr.","Kauno m.","15-19",11378
"Kauno apskr.","Kauno m.","20-24",14870
"Kauno apskr.","Kauno m.","25-29",20473
"Kauno apskr.","Kauno m.","30-34",26169
"Kauno apskr.","Kauno m.","35-39",22856
"Kauno apskr.","Kauno m.","40-44",17808
"Kauno apskr.","Kauno m.","45-49",17693
"Kauno apskr.","Kauno m.","5-9",15246
"Kauno apskr.","Kauno m.","50-54",18087
"Kauno apskr.","Kauno m.","55-59",19350
"Kauno apskr.","Kauno m.","60-64",19819
"Kauno apskr.","Kauno m.","65-69",15655
"Kauno apskr.","Kauno m.","70-74",13708
"Kauno apskr.","Kauno m.","75-79",12317
"Kauno apskr.","Kauno m.","80+",18193
"Kauno apskr.","Kauno r.","0-4",4791
"Kauno apskr.","Kauno r.","10-14",5636
"Kauno apskr.","Kauno r.","15-19",4848
"Kauno apskr.","Kauno r.","20-24",5537
"Kauno apskr.","Kauno r.","25-29",6986
"Kauno apskr.","Kauno r.","30-34",7719
"Kauno apskr.","Kauno r.","35-39",7159
"Kauno apskr.","Kauno r.","40-44",6949
"Kauno apskr.","Kauno r.","45-49",7028
"Kauno apskr.","Kauno r.","5-9",5141
"Kauno apskr.","Kauno r.","50-54",6863
"Kauno apskr.","Kauno r.","55-59",6871
"Kauno apskr.","Kauno r.","60-64",6343
"Kauno apskr.","Kauno r.","65-69",4613
"Kauno apskr.","Kauno r.","70-74",3583
"Kauno apskr.","Kauno r.","75-79",3029
"Kauno apskr.","Kauno r.","80+",4453
"Kauno apskr.","Kėdainių r.","0-4",1893
"Kauno apskr.","Kėdainių r.","10-14",2140
"Kauno apskr.","Kėdainių r.","15-19",2339
"Kauno apskr.","Kėdainių r.","20-24",2724
"Kauno apskr.","Kėdainių r.","25-29",2682
"Kauno apskr.","Kėdainių r.","30-34",2070
"Kauno apskr.","Kėdainių r.","35-39",1931
"Kauno apskr.","Kėdainių r.","40-44",2440
"Kauno apskr.","Kėdainių r.","45-49",3229
