"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-09-16,"VU ligoninės Santaros klinikų laboratorija",826,0,819,0,7,0,NA,NA,3,0,2020-09-17 11:07:24
2020-09-16,"Klaipėdos universitetinės ligoninės laboratorija",489,155,486,154,3,1,NA,NA,0,0,2020-09-17 11:07:24
2020-09-16,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",186,6,184,6,2,0,NA,NA,50,0,2020-09-17 11:07:24
2020-09-16,"Respublikinės Šiaulių ligoninės laboratorija",391,13,371,13,20,7,NA,NA,300,140,2020-09-17 11:07:24
2020-09-16,"LSMU ligoninės Kauno klinikų laboratorija",513,0,510,0,3,0,NA,NA,0,0,2020-09-17 11:07:24
2020-09-16,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,416,621,389,30,13,NA,NA,200,150,2020-09-17 11:07:24
2020-09-16,"Nacionalinio vėžio instituto laboratorija",88,0,88,0,0,0,NA,NA,0,0,2020-09-17 11:07:24
2020-09-16,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",304,65,304,65,0,0,NA,NA,70,0,2020-09-17 11:07:24
2020-09-16,"UAB „Medicina practica laboratorija“",799,93,790,90,9,3,NA,NA,1,0,2020-09-17 11:07:24
2020-09-16,"UAB „SK Impeks Medicinos diagnostikos centras“",84,0,83,0,1,0,NA,NA,0,0,2020-09-17 11:07:24
2020-09-16,"UAB „Invitro diagnostika“",316,41,286,35,30,0,NA,NA,0,0,2020-09-17 11:07:24
2020-09-16,"Respublikinės Panevėžio ligoninės laboratorija",59,0,58,0,1,0,NA,NA,0,0,2020-09-17 11:07:24
2020-09-16,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",183,158,178,153,5,4,NA,NA,94,94,2020-09-17 11:07:24
