"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-09-09,"VU ligoninės Santaros klinikų laboratorija",993,0,990,0,3,0,NA,NA,1,0,2020-09-10 11:11:08
2020-09-09,"Klaipėdos universitetinės ligoninės laboratorija",443,153,437,148,6,3,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",250,0,248,0,2,0,NA,NA,40,0,2020-09-10 11:11:08
2020-09-09,"Respublikinės Šiaulių ligoninės laboratorija",362,137,348,126,15,11,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"LSMU ligoninės Kauno klinikų laboratorija",1073,388,1067,385,6,3,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,450,623,423,28,13,NA,NA,165,120,2020-09-10 11:11:08
2020-09-09,"Nacionalinio vėžio instituto laboratorija",102,0,102,0,0,0,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"UAB „Baltic Medics“",174,131,170,127,4,4,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"UAB „Diagnostikos laboratorija“ („Antėja“)",563,45,562,45,1,0,NA,NA,140,0,2020-09-10 11:11:08
2020-09-09,"UAB „Medicina practica laboratorija“",636,85,632,85,4,0,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"UAB „SK Impeks Medicinos diagnostikos centras“",56,0,56,0,0,0,NA,NA,0,0,2020-09-10 11:11:08
2020-09-09,"UAB „Invitro diagnostika“",140,44,136,41,4,1,NA,NA,35,6,2020-09-10 11:11:08
2020-09-09,"Respublikinės Panevėžio ligoninės laboratorija",54,0,53,0,1,0,NA,NA,0,0,2020-09-10 11:11:08
