"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-07-29,"VU ligoninės Santaros klinikų laboratorija",754,0,751,0,3,0,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"Klaipėdos universitetinės ligoninės laboratorija",293,68,293,68,0,0,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",342,2,341,2,1,0,NA,NA,45,0,2020-07-30 11:56:08
2020-07-29,"Respublikinės Šiaulių ligoninės laboratorija",209,74,209,74,0,0,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"LSMU ligoninės Kauno klinikų laboratorija",1323,518,1318,517,5,1,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",372,247,370,245,2,2,NA,NA,50,58,2020-07-30 11:56:08
2020-07-29,"Nacionalinio vėžio instituto laboratorija",67,0,67,0,0,0,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"UAB „Baltic Medics“",76,39,76,39,0,0,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"UAB „Diagnostikos laboratorija“ („Antėja“)",262,43,262,43,0,0,NA,NA,46,0,2020-07-30 11:56:08
2020-07-29,"UAB „Medicina practica laboratorija“",347,142,342,138,5,4,NA,NA,24,0,2020-07-30 11:56:08
2020-07-29,"UAB „SK Impeks Medicinos diagnostikos centras“",48,0,48,0,0,0,NA,NA,0,0,2020-07-30 11:56:08
2020-07-29,"UAB „Invitro diagnostika“",98,49,94,47,4,2,NA,NA,1,1,2020-07-30 11:56:08
2020-07-29,"Respublikinės Panevėžio ligoninės laboratorija",144,0,144,0,0,0,NA,NA,0,0,2020-07-30 11:56:08
