"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-07-22,"VU ligoninės Santaros klinikų laboratorija",847,0,845,0,2,0,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"Klaipėdos universitetinės ligoninės laboratorija",324,71,323,70,1,0,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",309,10,309,10,0,0,NA,NA,35,0,2020-07-23 11:17:54
2020-07-22,"Respublikinės Šiaulių ligoninės laboratorija",213,58,213,58,0,0,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"LSMU ligoninės Kauno klinikų laboratorija",1279,477,1274,472,5,5,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",252,213,249,210,3,3,NA,NA,40,40,2020-07-23 11:17:54
2020-07-22,"Nacionalinio vėžio instituto laboratorija",53,0,53,0,0,0,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"UAB „Baltic Medics“",60,39,60,39,0,0,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"UAB „Diagnostikos laboratorija“ („Antėja“)",281,19,281,19,0,0,NA,NA,106,0,2020-07-23 11:17:54
2020-07-22,"UAB „Medicina practica laboratorija“",216,63,215,62,1,1,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"UAB „SK Impeks Medicinos diagnostikos centras“",48,0,48,0,0,0,NA,NA,2,0,2020-07-23 11:17:54
2020-07-22,"UAB „Invitro diagnostika“",81,40,80,39,1,0,NA,NA,0,0,2020-07-23 11:17:54
2020-07-22,"Respublikinės Panevėžio ligoninės laboratorija",33,0,33,0,0,0,NA,NA,0,0,2020-07-23 11:17:54
