"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-07-20,"VU ligoninės Santaros klinikų laboratorija",990,0,986,0,4,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"Klaipėdos universitetinės ligoninės laboratorija",435,87,435,87,0,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",142,0,142,0,0,0,NA,NA,40,0,2020-07-21 11:32:59
2020-07-20,"Respublikinės Šiaulių ligoninės laboratorija",220,59,220,59,0,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"LSMU ligoninės Kauno klinikų laboratorija",1010,296,1009,296,1,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",275,199,269,193,6,6,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"Nacionalinio vėžio instituto laboratorija",80,0,80,0,0,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"UAB „Baltic Medics“",83,43,83,43,0,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"UAB „Diagnostikos laboratorija“ („Antėja“)",94,0,94,0,0,0,NA,NA,38,0,2020-07-21 11:32:59
2020-07-20,"UAB „Medicina practica laboratorija“",199,45,198,44,1,1,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"UAB „SK Impeks Medicinos diagnostikos centras“",57,0,57,0,0,0,NA,NA,0,0,2020-07-21 11:32:59
2020-07-20,"Respublikinės Panevėžio ligoninės laboratorija",32,0,32,0,0,0,NA,NA,0,0,2020-07-21 11:32:59
