"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-09-10,"VU ligoninės Santaros klinikų laboratorija",794,0,791,0,3,0,NA,NA,6,0,2020-09-11 14:19:08
2020-09-10,"Klaipėdos universitetinės ligoninės laboratorija",521,165,511,157,10,7,NA,NA,0,0,2020-09-11 14:19:08
2020-09-10,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",247,0,246,0,1,0,NA,NA,40,0,2020-09-11 14:19:08
2020-09-10,"Respublikinės Šiaulių ligoninės laboratorija",468,148,448,132,20,16,NA,NA,0,0,2020-09-11 14:19:08
2020-09-10,"LSMU ligoninės Kauno klinikų laboratorija",812,239,812,239,0,0,NA,NA,0,0,2020-09-11 14:19:08
2020-09-10,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",558,437,538,417,20,9,NA,NA,186,150,2020-09-11 14:19:08
2020-09-10,"UAB „Baltic Medics“",117,88,115,86,2,2,NA,NA,0,0,2020-09-11 14:19:08
2020-09-10,"UAB „Diagnostikos laboratorija“ („Antėja“)",463,294,458,289,5,5,NA,NA,180,0,2020-09-11 14:19:08
2020-09-10,"UAB „Medicina practica laboratorija“",749,138,739,128,10,9,NA,NA,3,1,2020-09-11 14:19:08
2020-09-10,"UAB „SK Impeks Medicinos diagnostikos centras“",72,0,72,0,0,0,NA,NA,0,0,2020-09-11 14:19:08
2020-09-10,"UAB „Invitro diagnostika“",220,57,214,53,6,1,NA,NA,1,1,2020-09-11 14:19:08
